gi|261819371|ref|YP_003257477.1|	gi|188535562|ref|YP_001909359.1|	465	463	467	429	91.86	0.0	  881
gi|261819372|ref|YP_003257478.1|	gi|188535561|ref|YP_001909358.1|	366	366	366	332	90.71	0.0	  688
gi|261819373|ref|YP_003257479.1|	gi|188535560|ref|YP_001909357.1|	361	361	361	299	82.83	0.0	  621
gi|261819374|ref|YP_003257480.1|	gi|188535559|ref|YP_001909356.1|	805	802	805	688	85.47	0.0	 1397
gi|261819375|ref|YP_003257481.1|	gi|188534586|ref|YP_001908383.1|	396	399	280	69	24.64	1e-14	71.6
gi|261819376|ref|YP_003257482.1|	gi|188533606|ref|YP_001907403.1|	667	554	336	185	55.06	4e-103	  325
gi|261819377|ref|YP_003257483.1|	gi|188532637|ref|YP_001906434.1|	337	340	335	224	66.87	1e-163	  461
gi|261819378|ref|YP_003257484.1|	gi|188532636|ref|YP_001906433.1|	101	107	100	72	72.00	1e-47	  147
gi|261819379|ref|YP_003257485.1|	gi|188532635|ref|YP_001906432.1|	437	439	435	363	83.45	0.0	  743
gi|261819380|ref|YP_003257486.1|	gi|188532634|ref|YP_001906431.1|	110	108	102	74	72.55	2e-44	  140
gi|261819381|ref|YP_003257487.1|	gi|188532632|ref|YP_001906429.1|	480	478	475	395	83.16	0.0	  838
gi|261819382|ref|YP_003257488.1|	gi|188535558|ref|YP_001909355.1|	271	269	269	188	69.89	2e-142	  402
gi|261819383|ref|YP_003257489.1|	gi|188534464|ref|YP_001908261.1|	297	480	72	24	33.33	2.5	26.2
gi|261819384|ref|YP_003257490.1|	gi|188534899|ref|YP_001908696.1|	298	306	296	85	28.72	1e-33	  124
gi|261819385|ref|YP_003257491.1|	gi|188534317|ref|YP_001908114.1|	516	512	505	150	29.70	7e-52	  183
gi|261819386|ref|YP_003257492.1|	gi|188533212|ref|YP_001907009.1|	294	292	241	73	30.29	3e-28	  108
gi|261819387|ref|YP_003257493.1|	gi|188535481|ref|YP_001909278.1|	317	306	278	96	34.53	4e-36	  131
gi|261819388|ref|YP_003257494.1|	gi|188535481|ref|YP_001909278.1|	322	306	286	99	34.62	7e-44	  152
gi|261819389|ref|YP_003257495.1|	gi|188535507|ref|YP_001909304.1|	325	339	338	126	37.28	3e-75	  235
gi|261819390|ref|YP_003257496.1|	gi|188534315|ref|YP_001908112.1|	302	301	274	100	36.50	3e-57	  186
gi|261819391|ref|YP_003257497.1|	gi|188534318|ref|YP_001908115.1|	601	617	607	347	57.17	0.0	  662
gi|261819392|ref|YP_003257498.1|	gi|188532960|ref|YP_001906757.1|	232	254	151	50	33.11	6e-10	54.7
gi|261819393|ref|YP_003257499.1|	gi|188533955|ref|YP_001907752.1|	298	496	54	17	31.48	0.051	31.6
