gi|188532166|ref|YP_001905963.1|	gi|261823728|ref|YP_003261834.1|	146	147	146	91	62.33	2e-65	  197
gi|188532167|ref|YP_001905964.1|	gi|261823727|ref|YP_003261833.1|	153	153	153	133	86.93	1e-94	  272
gi|188532168|ref|YP_001905965.1|	gi|261819605|ref|YP_003257711.1|	719	273	34	16	47.06	0.001	38.5
gi|188532169|ref|YP_001905966.1|	gi|261823725|ref|YP_003261831.1|	486	492	488	304	62.30	0.0	  608
gi|188532170|ref|YP_001905967.1|	gi|261823724|ref|YP_003261830.1|	497	499	495	338	68.28	0.0	  689
gi|188532171|ref|YP_001905968.1|	gi|261823723|ref|YP_003261829.1|	622	622	622	509	81.83	0.0	 1062
gi|188532172|ref|YP_001905969.1|	gi|261820530|ref|YP_003258636.1|	1746	2542	109	27	24.77	0.094	34.3
gi|188532172|ref|YP_001905969.1|	gi|261820530|ref|YP_003258636.1|	1746	2542	85	22	25.88	0.86	31.2
gi|188532173|ref|YP_001905970.1|	gi|261823655|ref|YP_003261761.1|	1534	145	53	16	30.19	0.56	30.4
gi|188532174|ref|YP_001905971.1|	gi|261823405|ref|YP_003261511.1|	441	434	65	20	30.77	0.97	28.5
gi|188532175|ref|YP_001905972.1|	gi|261820154|ref|YP_003258260.1|	293	300	287	150	52.26	5e-106	  312
gi|188532176|ref|YP_001905973.1|	gi|261820155|ref|YP_003258261.1|	260	260	260	155	59.62	1e-112	  326
gi|188532177|ref|YP_001905974.1|	gi|261820156|ref|YP_003258262.1|	559	559	559	369	66.01	0.0	  780
gi|188532178|ref|YP_001905975.1|	gi|261823719|ref|YP_003261825.1|	143	139	139	91	65.47	3e-61	  186
gi|188532179|ref|YP_001905976.1|	gi|261823718|ref|YP_003261824.1|	501	501	499	406	81.36	0.0	  840
gi|188532180|ref|YP_001905977.1|	gi|261823717|ref|YP_003261823.1|	322	322	322	279	86.65	0.0	  552
gi|188532181|ref|YP_001905978.1|	gi|261823716|ref|YP_003261822.1|	293	295	295	239	81.02	8e-172	  479
