gi|50118966|ref|YP_048133.1|	gi|261823728|ref|YP_003261834.1|	147	147	147	139	94.56	3e-100	  285
gi|50118967|ref|YP_048134.1|	gi|261823727|ref|YP_003261833.1|	153	153	153	152	99.35	2e-111	  314
gi|50118968|ref|YP_048135.1|	gi|261823726|ref|YP_003261832.1|	330	330	330	326	98.79	0.0	  666
gi|50118969|ref|YP_048136.1|	gi|261823725|ref|YP_003261831.1|	492	492	492	482	97.97	0.0	  996
gi|50118970|ref|YP_048137.1|	gi|261823724|ref|YP_003261830.1|	499	499	499	483	96.79	0.0	  989
gi|50118971|ref|YP_048138.1|	gi|261823723|ref|YP_003261829.1|	622	622	622	608	97.75	0.0	 1236
gi|50118972|ref|YP_048139.1|	gi|261823722|ref|YP_003261828.1|	449	449	449	414	92.20	0.0	  823
gi|50118973|ref|YP_048140.1|	gi|261823721|ref|YP_003261827.1|	220	220	220	211	95.91	2e-137	  385
gi|50118974|ref|YP_048141.1|	gi|261823720|ref|YP_003261826.1|	131	131	131	127	96.95	2e-91	  262
gi|50118975|ref|YP_048142.1|	gi|261823719|ref|YP_003261825.1|	139	139	139	138	99.28	6e-100	  284
gi|50118976|ref|YP_048143.1|	gi|261823718|ref|YP_003261824.1|	501	501	501	493	98.40	0.0	 1003
gi|50118977|ref|YP_048144.1|	gi|261823717|ref|YP_003261823.1|	322	322	322	319	99.07	0.0	  619
gi|50118978|ref|YP_048145.1|	gi|261823716|ref|YP_003261822.1|	295	295	295	293	99.32	0.0	  580
gi|50118979|ref|YP_048146.1|	gi|261823715|ref|YP_003261821.1|	308	308	308	296	96.10	0.0	  601
gi|50118980|ref|YP_048147.1|	gi|261823714|ref|YP_003261820.1|	331	331	331	320	96.68	0.0	  671
gi|50118981|ref|YP_048148.1|	gi|261823713|ref|YP_003261819.1|	173	173	173	159	91.91	4e-116	  328
gi|50118982|ref|YP_048149.1|	gi|261823712|ref|YP_003261818.1|	196	196	196	172	87.76	1e-126	  356
