gi|188532166|ref|YP_001905963.1|	gi|50118966|ref|YP_048133.1|	146	147	146	90	61.64	3e-65	  196
gi|188532167|ref|YP_001905964.1|	gi|50118967|ref|YP_048134.1|	153	153	153	132	86.27	4e-94	  270
gi|188532168|ref|YP_001905965.1|	gi|50120139|ref|YP_049306.1|	719	241	130	29	22.31	0.009	35.4
gi|188532169|ref|YP_001905966.1|	gi|50118969|ref|YP_048136.1|	486	492	488	302	61.89	0.0	  623
gi|188532170|ref|YP_001905967.1|	gi|50118970|ref|YP_048137.1|	497	499	495	337	68.08	0.0	  689
gi|188532171|ref|YP_001905968.1|	gi|50118971|ref|YP_048138.1|	622	622	622	509	81.83	0.0	 1062
gi|188532172|ref|YP_001905969.1|	gi|50122267|ref|YP_051434.1|	1746	858	89	22	24.72	0.72	31.6
gi|188532173|ref|YP_001905970.1|	gi|50122319|ref|YP_051486.1|	1534	138	29	13	44.83	0.93	29.6
gi|188532174|ref|YP_001905971.1|	gi|50121003|ref|YP_050170.1|	441	310	27	11	40.74	6.2	25.8
gi|188532175|ref|YP_001905972.1|	gi|50119684|ref|YP_048851.1|	293	300	287	151	52.61	2e-106	  313
gi|188532176|ref|YP_001905973.1|	gi|50119685|ref|YP_048852.1|	260	260	260	159	61.15	3e-116	  335
gi|188532177|ref|YP_001905974.1|	gi|50119686|ref|YP_048853.1|	559	559	556	369	66.37	0.0	  780
gi|188532178|ref|YP_001905975.1|	gi|50118975|ref|YP_048142.1|	143	139	139	91	65.47	3e-61	  186
gi|188532179|ref|YP_001905976.1|	gi|50118976|ref|YP_048143.1|	501	501	499	408	81.76	0.0	  843
gi|188532180|ref|YP_001905977.1|	gi|50118977|ref|YP_048144.1|	322	322	322	278	86.34	0.0	  551
gi|188532181|ref|YP_001905978.1|	gi|50118978|ref|YP_048145.1|	293	295	295	239	81.02	7e-172	  479
gi|188532182|ref|YP_001905979.1|	gi|50118979|ref|YP_048146.1|	309	308	306	228	74.51	8e-156	  439
gi|188532183|ref|YP_001905980.1|	gi|50118980|ref|YP_048147.1|	330	331	327	243	74.31	0.0	  517
gi|188532184|ref|YP_001905981.1|	gi|50122109|ref|YP_051276.1|	465	466	445	196	44.04	6e-118	  355
gi|188532185|ref|YP_001905982.1|	gi|50118982|ref|YP_048149.1|	187	196	181	98	54.14	3e-64	  197
gi|188532186|ref|YP_001905983.1|	gi|50118983|ref|YP_048150.1|	89	89	89	66	74.16	5e-44	  138
gi|188532187|ref|YP_001905984.1|	gi|50118984|ref|YP_048151.1|	330	331	328	212	64.63	1e-161	  456
gi|188532188|ref|YP_001905985.1|	gi|50118985|ref|YP_048152.1|	209	207	209	142	67.94	2e-105	  303
gi|188532189|ref|YP_001905986.1|	gi|50118986|ref|YP_048153.1|	929	929	930	701	75.38	0.0	 1440
gi|188532190|ref|YP_001905987.1|	gi|50118987|ref|YP_048154.1|	218	211	203	158	77.83	5e-114	  326
gi|188532191|ref|YP_001905988.1|	gi|50118988|ref|YP_048155.1|	180	184	159	83	52.20	3e-40	  135
gi|188532192|ref|YP_001905989.1|	gi|50118989|ref|YP_048156.1|	457	457	457	334	73.09	0.0	  697
gi|188532193|ref|YP_001905990.1|	gi|50118990|ref|YP_048157.1|	469	470	470	434	92.34	0.0	  883
